id,start,end,label
1,0.11609977324263039,15.975328798185942,4
2,15.975328798185942,32.55437641723356,2
3,32.55437641723356,61.55609977324263,0
4,61.55609977324263,62.0669387755102,3
5,62.0669387755102,120.58122448979591,0
6,120.58122448979591,121.09206349206349,3
7,121.09206349206349,134.002358276644,0
8,134.002358276644,147.84145124716554,3
9,147.84145124716554,149.2346485260771,0
10,149.2346485260771,178.2828117913832,2
11,178.2828117913832,191.1698866213152,0
12,191.1698866213152,193.02748299319728,2
13,193.02748299319728,209.58331065759637,0
14,209.58331065759637,213.22884353741497,1
