1.485333	1.485333	1
3.504458	3.504458	2
5.488771	5.488771	3
7.507896	7.507896	4
9.550229	9.550229	5
11.522937	11.522937	6
13.542063	13.542063	7
15.503167	15.503167	8
17.510687	17.510687	9
19.506604	19.506604	10
21.525729	21.525729	11
23.510042	23.510042	12
25.517563	25.517563	13
27.513479	27.513479	14
29.509396	29.509396	15
31.516917	31.516917	16
33.512833	33.512833	17
35.508750	35.508750	18
37.516271	37.516271	19
39.512188	39.512188	20
41.519708	41.519708	21
43.515625	43.515625	22
45.511542	45.511542	23
47.519062	47.519062	24
49.549792	49.549792	25
51.557313	51.557313	26
53.541625	53.541625	27
55.514333	55.514333	28
57.510250	57.510250	29
59.506167	59.506167	30
61.525292	61.525292	31
63.509604	63.509604	32
65.517125	65.517125	33
67.513042	67.513042	34
69.508958	69.508958	35
71.516479	71.516479	36
73.512396	73.512396	37
75.508313	75.508313	38
77.515833	77.515833	39
79.523354	79.523354	40
81.519271	81.519271	41
83.515187	83.515187	42
85.511104	85.511104	43
87.518625	87.518625	44
89.514542	89.514542	45
91.510458	91.510458	46
93.517979	93.517979	47
95.513896	95.513896	48
97.509812	97.509812	49
99.517333	99.517333	50
101.513250	101.513250	51
103.509167	103.509167	52
105.539896	105.539896	53
107.535813	107.535813	54
109.543333	109.543333	55
111.539250	111.539250	56
113.511958	113.511958	57
115.507875	115.507875	58
117.527000	117.527000	59
119.511313	119.511313	60
121.507229	121.507229	61
123.514750	123.514750	62
125.510667	125.510667	63
127.506583	127.506583	64
129.514104	129.514104	65
131.510021	131.510021	66
133.517542	133.517542	67
135.513458	135.513458	68
137.509375	137.509375	69
139.516896	139.516896	70
141.512812	141.512812	71
143.508729	143.508729	72
145.516250	145.516250	73
147.512167	147.512167	74
149.519688	149.519688	75
151.515604	151.515604	76
153.511521	153.511521	77
155.507438	155.507438	78
157.514958	157.514958	79
159.510875	159.510875	80
161.518396	161.518396	81
163.514312	163.514312	82
165.510229	165.510229	83
167.517750	167.517750	84
169.560083	169.560083	85
171.556000	171.556000	86
173.517104	173.517104	87
175.513021	175.513021	88
177.497333	177.497333	89
179.504854	179.504854	90
181.512375	181.512375	91
183.519896	183.519896	92
185.527417	185.527417	93
187.511729	187.511729	94
189.519250	189.519250	95
191.515167	191.515167	96
193.511083	193.511083	97
195.507000	195.507000	98
197.514521	197.514521	99
199.510437	199.510437	100
201.517958	201.517958	101
203.513875	203.513875	102
205.509792	205.509792	103
207.517313	207.517313	104
209.513229	209.513229	105
211.520750	211.520750	106
213.586292	213.586292	107
215.292104	215.292104	108
216.951500	216.951500	109
218.576083	218.576083	110
220.212271	220.212271	111
221.825250	221.825250	112
223.438229	223.438229	113
