id,start,end,label
1,0.0,0.2786394557823129,10
2,0.2786394557823129,1.7182766439909296,4
3,1.7182766439909296,2.461315192743764,7
4,2.461315192743764,3.2043537414965986,1
5,3.2043537414965986,3.947392290249433,4
6,3.947392290249433,4.690430839002268,1
7,4.690430839002268,5.38702947845805,5
8,5.38702947845805,6.130068027210885,8
9,6.130068027210885,6.873106575963718,5
10,6.873106575963718,7.569705215419501,8
11,7.569705215419501,8.312743764172335,1
12,8.312743764172335,9.05578231292517,4
13,9.05578231292517,9.798820861678005,1
14,9.798820861678005,10.541859410430838,4
15,10.541859410430838,11.23845804988662,1
16,11.23845804988662,11.981496598639456,4
17,11.981496598639456,12.72453514739229,8
18,12.72453514739229,13.467573696145125,5
19,13.467573696145125,14.210612244897959,8
20,14.210612244897959,14.907210884353741,5
21,14.907210884353741,15.650249433106575,8
22,15.650249433106575,16.39328798185941,5
23,16.39328798185941,17.136326530612244,6
24,17.136326530612244,17.832925170068027,5
25,17.832925170068027,18.575963718820862,6
26,18.575963718820862,19.319002267573698,5
27,19.319002267573698,20.06204081632653,6
28,20.06204081632653,20.758639455782312,5
29,20.758639455782312,21.501678004535147,9
30,21.501678004535147,22.244716553287983,8
31,22.244716553287983,22.987755102040815,9
32,22.987755102040815,23.684353741496597,8
33,23.684353741496597,24.427392290249433,8
34,24.427392290249433,25.170430839002268,6
35,25.170430839002268,25.913469387755104,8
36,25.913469387755104,26.610068027210886,6
37,26.610068027210886,27.353106575963718,8
38,27.353106575963718,28.096145124716553,9
39,28.096145124716553,28.792743764172336,5
40,28.792743764172336,29.53578231292517,9
41,29.53578231292517,30.278820861678003,1
42,30.278820861678003,31.02185941043084,4
43,31.02185941043084,31.764897959183674,1
44,31.764897959183674,32.507936507936506,4
45,32.507936507936506,33.20453514739229,1
46,33.20453514739229,33.94757369614513,4
47,33.94757369614513,34.690612244897956,1
48,34.690612244897956,35.38721088435374,5
49,35.38721088435374,36.13024943310658,8
50,36.13024943310658,36.87328798185941,9
51,36.87328798185941,37.61632653061225,8
52,37.61632653061225,38.31292517006803,9
53,38.31292517006803,39.05596371882086,6
54,39.05596371882086,39.7990022675737,5
55,39.7990022675737,40.542040816326534,6
56,40.542040816326534,41.28507936507936,8
57,41.28507936507936,41.98167800453515,6
58,41.98167800453515,42.72471655328798,8
59,42.72471655328798,43.46775510204082,9
60,43.46775510204082,44.1643537414966,5
61,44.1643537414966,44.90739229024943,4
62,44.90739229024943,45.65043083900227,1
63,45.65043083900227,46.393469387755104,4
64,46.393469387755104,47.09006802721088,1
65,47.09006802721088,47.83310657596372,4
66,47.83310657596372,48.576145124716554,1
67,48.576145124716554,49.31918367346939,4
68,49.31918367346939,50.062222222222225,1
69,50.062222222222225,50.758820861678004,4
70,50.758820861678004,51.50185941043084,2
71,51.50185941043084,52.244897959183675,7
72,52.244897959183675,52.98793650793651,2
73,52.98793650793651,53.68453514739229,7
74,53.68453514739229,54.427573696145124,2
75,54.427573696145124,55.17061224489796,7
76,55.17061224489796,55.913650793650795,2
77,55.913650793650795,56.610249433106574,7
78,56.610249433106574,57.35328798185941,2
79,57.35328798185941,58.096326530612245,7
80,58.096326530612245,61.765079365079366,2
81,61.765079365079366,62.461678004535145,4
82,62.461678004535145,63.20471655328798,1
83,63.20471655328798,63.947755102040816,4
84,63.947755102040816,64.69079365079365,1
85,64.69079365079365,65.38739229024944,4
86,65.38739229024944,66.13043083900227,1
87,66.13043083900227,66.87346938775511,4
88,66.87346938775511,67.61650793650794,1
89,67.61650793650794,68.31310657596372,5
90,68.31310657596372,69.0097052154195,8
91,69.0097052154195,69.70630385487529,5
