id,start,end,label
1,0.0,0.09287981859410431,5.0
2,0.09287981859410431,13.514013605442177,3.0
3,13.514013605442177,22.755555555555556,3.0
4,22.755555555555556,37.01260770975057,4.0
5,37.01260770975057,79.9695238095238,3.0
6,79.9695238095238,93.80861678004536,1.0
7,93.80861678004536,109.9697052154195,2.0
8,109.9697052154195,153.80897959183673,3.0
9,153.80897959183673,157.98857142857142,4.0
10,157.98857142857142,168.5768707482993,4.0
11,168.5768707482993,202.98884353741497,4.0
12,202.98884353741497,202.9940589569161,5.0
