id,start,end,label
1,2.020136054421769,26.70294784580499,0
2,26.70294784580499,45.836190476190474,1
3,45.836190476190474,47.18294784580499,4
4,47.18294784580499,69.35800453514739,3
5,69.35800453514739,91.37052154195011,1
6,91.37052154195011,112.68643990929705,2
7,112.68643990929705,115.37995464852608,4
8,115.37995464852608,158.03501133786847,1
9,158.03501133786847,200.69006802721088,2
10,200.69006802721088,201.36344671201815,4
11,201.36344671201815,220.68244897959184,3
12,220.68244897959184,234.05714285714285,0
