id,start,end,label
1,0.23219954648526078,8.846802721088435,3
2,8.846802721088435,24.079092970521543,1
3,24.079092970521543,44.07147392290249,0
4,44.07147392290249,79.5980045351474,1
5,79.5980045351474,100.07800453514739,0
6,100.07800453514739,136.57977324263038,1
7,136.57977324263038,161.0768253968254,2
8,161.0768253968254,171.73478458049885,1
9,171.73478458049885,180.3261678004535,3
10,180.3261678004535,212.5554648526077,1
11,212.5554648526077,220.68244897959184,2
12,220.68244897959184,224.23510204081632,3
