Segment,Start_Time,Nearest_Beat,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
0,2.020136054421769,5.33332,-3.313183945578231,5.33332,-3.313183945578231,0.0,2.020136054421769
1,26.70294784580499,26.6666,0.03634784580498973,26.6666,0.03634784580498973,26.6666,0.03634784580498973
2,46.53278911564626,46.667158,-0.13436888435374073,45.333828,1.198961115646263,48.000488,-1.4676988843537373
3,69.35800453514739,69.335308,0.02269653514738934,69.335308,0.02269653514738934,69.335308,0.02269653514738934
4,91.37052154195011,91.333073,0.03744854195011271,90.666408,0.7041135419501074,90.666408,0.7041135419501074
5,114.03319727891156,113.999683,0.033514278911553674,114.666348,-0.6331507210884411,114.666348,-0.6331507210884411
6,115.37995464852608,115.333165,0.04678964852608658,114.666348,0.7136066485260812,114.666348,0.7136066485260812
7,158.03501133786847,157.999593,0.03541833786846382,157.332928,0.7020833378684586,157.332928,0.7020833378684586
8,200.69006802721088,200.666153,0.023915027210875905,199.999488,0.6905800272108706,199.999488,0.6905800272108706
9,220.68244897959184,220.666103,0.016345979591847026,221.421068,-0.7386190204081515,221.421068,-0.7386190204081515
