id,start,end,label
1,0.0,0.09287981859410431,5
2,0.09287981859410431,15.32517006802721,3
3,15.32517006802721,15.789569160997733,3
4,15.789569160997733,20.897959183673468,3
5,20.897959183673468,43.049795918367344,4
6,43.049795918367344,46.25414965986395,3
7,46.25414965986395,47.18294784580499,3
8,47.18294784580499,57.817687074829934,2
9,57.817687074829934,61.486439909297054,3
10,61.486439909297054,63.344036281179136,3
11,63.344036281179136,66.54839002267573,2
12,66.54839002267573,71.19238095238096,3
13,71.19238095238096,73.93233560090702,3
14,73.93233560090702,97.05941043083901,1
15,97.05941043083901,115.4960544217687,2
16,115.4960544217687,120.55800453514739,3
17,120.55800453514739,121.95120181405896,3
18,121.95120181405896,134.86149659863946,2
19,134.86149659863946,135.7902947845805,3
20,135.7902947845805,140.89868480725625,2
21,140.89868480725625,145.96063492063493,3
22,145.96063492063493,147.35383219954647,3
23,147.35383219954647,148.74702947845805,3
24,148.74702947845805,152.41578231292516,3
25,152.41578231292516,172.24562358276643,4
26,172.24562358276643,179.67600907029478,3
27,179.67600907029478,202.98884353741497,4
28,202.98884353741497,202.9940589569161,5
