id,start,end,label
1,0.23219954648526078,8.846802721088435,4
2,8.846802721088435,16.32362811791383,1
3,16.32362811791383,24.079092970521543,4
4,24.079092970521543,24.56671201814059,1
5,24.56671201814059,46.068390022675736,2
6,46.068390022675736,56.33160997732426,1
7,56.33160997732426,79.5980045351474,4
8,79.5980045351474,80.5732426303855,1
9,80.5732426303855,102.07492063492063,2
10,102.07492063492063,112.33814058956916,1
11,112.33814058956916,136.57977324263038,4
12,136.57977324263038,137.06739229024944,1
13,137.06739229024944,168.60009070294785,3
14,168.60009070294785,172.26884353741497,1
15,172.26884353741497,212.5554648526077,4
16,212.5554648526077,224.23510204081632,0
