Librosa_GMMCQT_Cluster5

CallMeMaybe_Librosa_GMMCQT_Cluster5.csv
Boundary,Boundary_Timestamp,Label,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
Percent recall (3 sec),0.7777777777777778
Percent precision (2 beats),0.25
Percent recall (2 beats),0.5555555555555556
Average time between beats,0.461538
Rand Index Score,0.6854132078952223

Dynamite_Librosa_GMMCQT_Cluster5.csv
Boundary,Boundary_Timestamp,Label,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.23219954648526078,0,NA,NA,NA,NA,NA,NA,NA
2,8.335963718820862,3,8.542552,2,-0.20658828117913863,8.042552,0.29341171882086137,7.542552,0.7934117188208623
3,16.32362811791383,0,16.542552,2,-0.21892388208616964,16.042552,0.28107611791383036,7.542552,8.78107611791383
4,24.079092970521543,3,24.042552,1,0.036540970521542704,24.042552,0.036540970521542704,32.042552,-7.963459029478457
5,24.56671201814059,2,24.542552,2,0.02416001814058788,24.042552,0.5241600181405879,32.042552,-7.475839981859412
6,46.068390022675736,3,46.042552,1,0.025838022675735317,46.042552,0.025838022675735317,47.542552,-1.4741619773242647
7,56.33160997732426,0,56.542552,2,-0.21094202267573792,56.042552,0.2890579773242621,63.542552,-7.210942022675738
8,80.5732426303855,2,80.542552,2,0.030690630385493023,80.042552,0.530690630385493,88.042552,-7.469309369614507
9,102.07492063492063,3,102.042552,1,0.0323686349206298,102.042552,0.0323686349206298,103.542552,-1.4676313650793702
10,112.33814058956916,0,112.542552,2,-0.20441141043083633,112.042552,0.2955885895691637,120.042552,-7.704411410430836
11,136.57977324263038,1,136.542552,2,0.0372212426303804,136.042552,0.5372212426303804,120.042552,16.53722124263038
12,169.621768707483,3,169.542552,4,0.07921670748299903,170.042552,-0.420783292517001,164.042552,5.579216707482999
13,172.8261224489796,0,173.042552,3,-0.21642955102041128,172.042552,0.7835704489795887,179.542552,-6.716429551020411
14,212.5554648526077,4,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.11027761451247182,,0.337525638699923,,6.597759207860922
Proximity Scores,,,,0.22197220152157227,,0.6793881915510921,,13.280293946805353
Percent precision (0.5 sec),0.07142857142857142
Percent recall (0.5 sec),0.09090909090909091
Percent precision (3 sec),0.2857142857142857
