Librosa_KmeansSTFT_Cluster4

Bulletproof_Librosa_Kmeans_STFT_Cluster4.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
5,99.56716553287981,99.333053,2,0.2341125328798057,98.666388,0.9007775328798147,90.666408,8.900757532879808
6,137.06739229024944,137.332614,3,-0.2652217097505627,135.999284,1.0681082902494552,135.999284,1.0681082902494552
7,165.58149659863946,165.332908,1,0.24858859863945781,165.332908,0.24858859863945781,157.332928,8.248568598639451
8,213.04308390022675,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.19117801700679907,,0.6272614905517807,,5.889659983371128
Proximity Scores,,,,0.28676774242955466,,0.9408945880641412,,8.834512061336843
Percent of ground truth boundaries,0.375
Percent of ground truth boundaries found,0.23076923076923078
Average time between beats,0.6666650000000001

Fireflies_Librosa_Kmeans_STFT_Cluster4.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,2.020136054421769,NA,NA,NA,NA,NA,NA,NA
2,26.02956916099773,25.999935,4,0.02963416099773042,26.6666,-0.6370308390022679,26.6666,-0.6370308390022679
3,26.70294784580499,26.6666,1,0.03634784580498973,26.6666,0.03634784580498973,26.6666,0.03634784580498973
4,90.69714285714285,90.666408,1,0.030734857142846295,90.666408,0.030734857142846295,90.666408,0.030734857142846295
5,112.68643990929705,112.666353,2,0.02008690929704926,111.999688,0.686751909297044,114.666348,-1.9799080907029492
6,158.03501133786847,157.999593,2,0.03541833786846382,157.332928,0.7020833378684586,157.332928,0.7020833378684586
7,201.36344671201815,201.332818,3,0.030628712018142323,202.666148,-1.3027012879818471,199.999488,1.3639587120181318
8,220.68244897959184,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.030475137188203643,,0.5659416795162423,,0.7916772804232739
Proximity Scores,,,,0.04571282006435562,,0.8489146415609673,,1.1875188894321342
Percent of ground truth boundaries,1.0
Percent of ground truth boundaries found,0.6153846153846154
Average time between beats,0.6666650000000001

OverMyHead_Librosa_Kmeans_STFT_Cluster4.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.23219954648526078,NA,NA,NA,NA,NA,NA,NA
2,5.479909297052155,5.33332,1,0.14658929705215495,5.33332,0.14658929705215495,5.33332,0.14658929705215495
