id,start,end,label
1,0.0,0.09287981859410431,10.0
2,0.09287981859410431,13.514013605442177,0.0
3,13.514013605442177,22.755555555555556,2.0
4,22.755555555555556,37.01260770975057,7.0
5,37.01260770975057,79.9695238095238,6.0
6,79.9695238095238,93.80861678004536,8.0
7,93.80861678004536,109.9697052154195,9.0
8,109.9697052154195,153.80897959183673,5.0
9,153.80897959183673,157.98857142857142,4.0
10,157.98857142857142,168.5768707482993,0.0
11,168.5768707482993,202.98884353741497,3.0
12,202.98884353741497,202.9940589569161,10.0
