id,start,end,label
1,0.0,0.09287981859410431,10.0
2,0.09287981859410431,3.8080725623582765,1.0
3,3.8080725623582765,5.6656689342403626,1.0
4,5.6656689342403626,9.334421768707482,1.0
5,9.334421768707482,11.19201814058957,1.0
6,11.19201814058957,13.931972789115646,1.0
7,13.931972789115646,16.253968253968253,1.0
8,16.253968253968253,17.182766439909297,8.0
9,17.182766439909297,18.11156462585034,8.0
10,18.11156462585034,19.040362811791383,4.0
11,19.040362811791383,20.897959183673468,9.0
12,20.897959183673468,22.755555555555556,8.0
13,22.755555555555556,24.56671201814059,8.0
14,24.56671201814059,28.23546485260771,1.0
15,28.23546485260771,31.950657596371883,1.0
16,31.950657596371883,35.66585034013605,1.0
17,35.66585034013605,39.334603174603174,1.0
18,39.334603174603174,41.19219954648526,5.0
19,41.19219954648526,43.049795918367344,7.0
20,43.049795918367344,44.860952380952384,4.0
21,44.860952380952384,48.576145124716554,0.0
22,48.576145124716554,50.43374149659864,1.0
23,50.43374149659864,52.244897959183675,1.0
24,52.244897959183675,54.102494331065756,2.0
25,54.102494331065756,55.960090702947845,2.0
26,55.960090702947845,57.817687074829934,3.0
27,57.817687074829934,59.628843537414966,1.0
28,59.628843537414966,63.344036281179136,8.0
29,63.344036281179136,65.20163265306122,3.0
30,65.20163265306122,67.01278911564626,1.0
31,67.01278911564626,68.87038548752834,5.0
32,68.87038548752834,70.72798185941043,7.0
33,70.72798185941043,72.58557823129252,4.0
34,72.58557823129252,74.39673469387755,3.0
35,74.39673469387755,78.11192743764173,8.0
36,78.11192743764173,81.8271201814059,1.0
37,81.8271201814059,83.63827664399093,1.0
38,83.63827664399093,87.39990929705215,1.0
39,87.39990929705215,91.02222222222223,1.0
40,91.02222222222223,94.73741496598639,1.0
41,94.73741496598639,96.59501133786848,1.0
42,96.59501133786848,100.2637641723356,1.0
43,100.2637641723356,103.93251700680273,1.0
44,103.93251700680273,107.64770975056689,1.0
45,107.64770975056689,111.36290249433107,4.0
46,111.36290249433107,113.1740589569161,2.0
47,113.1740589569161,115.03165532879818,2.0
48,115.03165532879818,116.88925170068028,3.0
49,116.88925170068028,118.70040816326531,8.0
50,118.70040816326531,122.41560090702947,8.0
51,122.41560090702947,124.27319727891157,3.0
52,124.27319727891157,126.0843537414966,1.0
53,126.0843537414966,127.94195011337868,5.0
54,127.94195011337868,129.79954648526078,7.0
55,129.79954648526078,131.65714285714284,4.0
56,131.65714285714284,133.4682993197279,1.0
57,133.4682993197279,137.18349206349205,0.0
58,137.18349206349205,139.04108843537415,4.0
59,139.04108843537415,140.89868480725625,1.0
60,140.89868480725625,142.70984126984126,4.0
61,142.70984126984126,144.56743764172336,8.0
62,144.56743764172336,146.42503401360545,1.0
63,146.42503401360545,148.28263038548752,1.0
64,148.28263038548752,151.95138321995464,0.0
65,151.95138321995464,153.80897959183673,4.0
66,153.80897959183673,157.5241723356009,1.0
67,157.5241723356009,159.381768707483,1.0
68,159.381768707483,161.19292517006804,1.0
69,161.19292517006804,163.97931972789115,1.0
70,163.97931972789115,165.7904761904762,1.0
71,165.7904761904762,168.5768707482993,1.0
72,168.5768707482993,170.4344671201814,1.0
73,170.4344671201814,172.24562358276643,2.0
74,172.24562358276643,174.10321995464852,2.0
75,174.10321995464852,175.96081632653062,3.0
76,175.96081632653062,177.8184126984127,8.0
77,177.8184126984127,178.74721088435373,8.0
78,178.74721088435373,179.67600907029478,8.0
79,179.67600907029478,180.55836734693878,4.0
80,180.55836734693878,181.48716553287983,4.0
81,181.48716553287983,185.202358276644,1.0
82,185.202358276644,187.01351473922904,4.0
83,187.01351473922904,188.8711111111111,2.0
84,188.8711111111111,190.26430839002268,8.0
85,190.26430839002268,193.0507029478458,0.0
86,193.0507029478458,196.71945578231293,0.0
87,196.71945578231293,202.98884353741497,6.0
88,202.98884353741497,202.9940589569161,10.0
