id,start,end,label
1,0.0,4.272471655328798,10.0
2,4.272471655328798,14.86077097505669,7.0
3,14.86077097505669,31.48625850340136,0.0
4,31.48625850340136,44.535873015873015,6.0
5,44.535873015873015,64.27283446712018,4.0
6,64.27283446712018,92.04390022675737,0.0
7,92.04390022675737,123.01931972789116,5.0
8,123.01931972789116,139.04108843537415,8.0
9,139.04108843537415,154.96997732426303,9.0
10,154.96997732426303,174.01034013605442,2.0
11,174.01034013605442,203.08172335600906,3.0
12,203.08172335600906,203.0997732426304,10.0
